model,horizon,type,avg_sMAPE,std_sMAPE,avg_MAE,avg_RMSE,n_folds,n_series,n_features
Simple_naive,6,baseline_cv,10.990022498098064,15.000444321913811,493.4215444444444,558.8829249934302,3,50.0,
Simple_seasonalnaive,6,baseline_cv,11.337967745288303,11.391767077510584,459.1687533333333,507.38191899413107,3,50.0,
Simple_autotheta,6,baseline_cv,6.990470309446082,11.730957884664173,330.3483402796421,372.36768179501735,3,50.0,
Simple_autoets,6,baseline_cv,6.495731450753268,9.763216424213747,280.3143868329887,320.3013307121223,3,50.0,
CatBoost_lags_only,6,ml_cv,6.3353740105437915,1.1140491382144881,222.39301365302484,387.4360417516835,3,,19.0
CatBoost_lags_seasonal,6,ml_cv,5.274693071666467,,212.11925613206947,335.4902657320132,3,,25.0
CatBoost_lags_calendar,6,ml_cv,5.926701744872873,0.9357286031133002,217.67706370535927,396.9949981040182,3,,25.0
CatBoost_lags_fourier,6,ml_cv,6.145434216766869,1.3464150877376446,222.84753470679132,432.8848219095571,3,,43.0
CatBoost_lags_seasonal_calendar,6,ml_cv,4.931259248878514,,196.74586052103248,322.81652114542646,3,,31.0
CatBoost_lags_seasonal_fourier,6,ml_cv,5.28212547764826,,207.27218866224203,319.43141919598105,3,,49.0
CatBoost_all_features,6,ml_cv,5.017022498842076,,203.80146871553083,329.38272714142175,3,,55.0
Simple_naive,12,baseline_cv,12.576401583849675,16.528387134045197,566.6742800000001,649.5043718428952,3,50.0,
Simple_seasonalnaive,12,baseline_cv,11.199501429728429,11.232852710719193,465.05872055555557,546.0635639734943,3,50.0,
Simple_autotheta,12,baseline_cv,8.626544344974718,13.86529397285031,403.1184361657213,454.672163307816,3,50.0,
Simple_autoets,12,baseline_cv,8.153337427832975,11.816745874110769,351.5126321930742,409.0190549583868,3,50.0,
CatBoost_lags_only,12,ml_cv,6.433130572588669,1.1258505850030833,226.5612542496361,391.39371931529104,3,,19.0
CatBoost_lags_seasonal,12,ml_cv,5.298791829260523,,238.343422972294,426.4949510768544,3,,25.0
CatBoost_lags_calendar,12,ml_cv,6.0114823594003886,0.9764264263216509,217.57578293777158,388.38808392941354,3,,25.0
CatBoost_lags_fourier,12,ml_cv,6.164286182637035,1.4009593857321878,221.3889899894575,411.97625053715757,3,,43.0
CatBoost_lags_seasonal_calendar,12,ml_cv,5.178487898112186,,225.14641037586338,400.9601378104,3,,31.0
CatBoost_lags_seasonal_fourier,12,ml_cv,5.4391934576043,,234.5900415104681,410.98093696368454,3,,49.0
CatBoost_all_features,12,ml_cv,4.969381367907475,,223.07225576196575,396.68605410694465,3,,55.0
Simple_naive,18,baseline_cv,13.85687555873228,17.07889946057971,616.9587425925926,700.3336226361511,3,50.0,
Simple_seasonalnaive,18,baseline_cv,13.163292668893606,11.915396118346031,540.1164985185185,636.3056991754663,3,50.0,
Simple_autotheta,18,baseline_cv,10.13033991206289,14.80251197017021,462.88410514371606,519.7810026603922,3,50.0,
Simple_autoets,18,baseline_cv,9.66364523567708,12.801599796118625,411.582541106823,471.58474392242545,3,50.0,
CatBoost_lags_only,18,ml_cv,6.478197596104568,0.9016972125563979,228.1172411698523,398.6363310092535,3,,19.0
CatBoost_lags_seasonal,18,ml_cv,5.740082991309511,,252.98869517293807,478.5289161764492,3,,25.0
CatBoost_lags_calendar,18,ml_cv,6.011174736651394,0.8183665327923036,216.52505208245915,388.3614147794217,3,,25.0
CatBoost_lags_fourier,18,ml_cv,6.162470907690767,1.2319201318069484,219.4662227156917,405.25760951881847,3,,43.0
CatBoost_lags_seasonal_calendar,18,ml_cv,5.635149444359976,,240.59589522144122,450.2769054876361,3,,31.0
CatBoost_lags_seasonal_fourier,18,ml_cv,5.89637546380997,,250.2188997777116,467.3413292302901,3,,49.0
CatBoost_all_features,18,ml_cv,5.310148948517024,,237.4729040668894,458.4638421777456,3,,55.0
