model,horizon,type,avg_sMAPE,std_sMAPE,avg_MAE,avg_RMSE,n_folds,n_series,n_features
Simple_naive,6,baseline_cv,12.36430925428142,14.664548726957129,464.8944442942943,533.32582365096,3,37.0,
Simple_seasonalnaive,6,baseline_cv,10.339187467775634,12.001814563496051,344.2157899399399,371.2636729619901,3,37.0,
Simple_autotheta,6,baseline_cv,5.714219061497034,6.711337864588736,196.5115729249507,227.47971120676513,3,37.0,
Simple_autoets,6,baseline_cv,5.375592532924344,6.152993485650226,198.57978288478859,229.95913480637634,3,37.0,
CatBoost_lags_only,6,ml_cv,7.129930882991185,1.9047390812695517,202.97175172046664,326.4649704116096,3,,19.0
CatBoost_lags_calendar,6,ml_cv,6.097962287550714,1.0984891005841295,180.84873598406094,297.9269681109874,3,,25.0
CatBoost_lags_fourier,6,ml_cv,6.510219099599884,0.5253854837510133,190.16914913205053,312.66851696797363,3,,43.0
Simple_naive,12,baseline_cv,13.49589237958066,14.604792716486473,504.0390641141141,598.798739374277,3,37.0,
Simple_seasonalnaive,12,baseline_cv,10.099316455657439,10.283697851601907,340.5277130630631,396.1809768975001,3,37.0,
Simple_autotheta,12,baseline_cv,7.396496326166123,8.477174655808708,246.5620842380968,289.33208271080935,3,37.0,
Simple_autoets,12,baseline_cv,6.933545102261699,7.728213609249528,240.01039278963742,282.84219439407104,3,37.0,
CatBoost_lags_only,12,ml_cv,7.234407541204022,1.6825260107550255,222.58941525934588,402.38190563003633,3,,19.0
CatBoost_lags_calendar,12,ml_cv,6.48116165511738,0.9330464670828761,205.05422735917094,380.71109091218955,3,,25.0
CatBoost_lags_fourier,12,ml_cv,6.910753960577214,1.1802809491665667,216.20666236398324,393.9558585426071,3,,43.0
Simple_naive,18,baseline_cv,14.570925785971799,14.633959235177032,528.4802206412295,621.2293145171137,3,37.0,
Simple_seasonalnaive,18,baseline_cv,12.291443694350018,12.492788182177438,407.64272206618386,473.03279508213024,3,37.0,
Simple_autotheta,18,baseline_cv,8.958066013131779,10.056641516412355,293.4011593882893,342.0387184144032,3,37.0,
Simple_autoets,18,baseline_cv,8.49212887691465,9.429267055958949,285.77315983627005,333.7797806977057,3,37.0,
CatBoost_lags_only,18,ml_cv,7.161514453010645,1.3426530366373637,220.1959527875085,386.4633597757567,3,,19.0
CatBoost_lags_calendar,18,ml_cv,6.461848256835648,0.7825912118227193,203.29122741134884,365.23090728753067,3,,25.0
CatBoost_lags_fourier,18,ml_cv,6.977577072362304,1.0036967005066169,215.04540649379032,376.7520325933642,3,,43.0
