model,horizon,type,avg_sMAPE,std_sMAPE,avg_MAE,avg_RMSE,n_folds,n_series,n_features
Simple_naive,6,baseline_cv,9.452827418145331,14.763103475760786,623.7585555555556,719.8405476442637,3,50.0,
Simple_seasonalnaive,6,baseline_cv,12.564847212737977,13.544377241731064,707.16,834.944728370117,3,50.0,
Simple_autotheta,6,baseline_cv,8.506161189670335,13.226215169301941,557.7502732817511,660.8688356447333,3,50.0,
Simple_autoets,6,baseline_cv,8.249936807220447,11.760059734239954,507.71684917622235,606.1601005743298,3,50.0,
CatBoost_lags_only,6,ml_cv,5.493369031029473,0.7270983614020187,285.7644694751223,1029.964684184566,3,,19.0
CatBoost_lags_calendar,6,ml_cv,5.302654084021337,0.46780506943370076,284.1553515091992,1031.603479631207,3,,25.0
CatBoost_lags_fourier,6,ml_cv,5.720560053272332,0.5935329959945396,307.85367922253647,1044.7783590484435,3,,43.0
Simple_naive,12,baseline_cv,10.208677062921934,15.97238556460113,634.7259444444444,736.4585841088094,3,50.0,
Simple_seasonalnaive,12,baseline_cv,11.777524570370336,12.086775177464727,645.5815555555556,802.1294030290688,3,50.0,
Simple_autotheta,12,baseline_cv,9.251280273707383,14.410076430938007,558.8975429940372,664.8461702790255,3,50.0,
Simple_autoets,12,baseline_cv,9.11296300378162,12.6842274282213,516.2917095682644,631.171864686677,3,50.0,
CatBoost_lags_only,12,ml_cv,5.274833400086806,0.8535598539292805,250.42833404875887,809.8241796719066,3,,19.0
CatBoost_lags_calendar,12,ml_cv,5.136354242693873,0.7337494025022803,247.89500256960307,813.9911482424704,3,,25.0
CatBoost_lags_fourier,12,ml_cv,5.487650795965545,0.8139012270587539,266.55952196767714,837.4540982148341,3,,43.0
Simple_naive,18,baseline_cv,10.757779219658268,15.898838459153254,648.3621350762528,752.5551097827246,3,50.0,
Simple_seasonalnaive,18,baseline_cv,12.516790286608781,11.944689619032177,671.18625708061,830.654338218096,3,50.0,
Simple_autotheta,18,baseline_cv,9.972962935503158,14.748384875758104,579.6887707272821,685.8268644600395,3,50.0,
Simple_autoets,18,baseline_cv,9.871526877215723,12.968030443735039,538.0347680314845,650.9955044923913,3,50.0,
CatBoost_lags_only,18,ml_cv,5.220888564529514,0.8619439132705246,242.0018256558595,724.3769933847293,3,,19.0
CatBoost_lags_calendar,18,ml_cv,5.128677770357502,0.8409589437535429,239.9720198032801,722.6445528101241,3,,25.0
CatBoost_lags_fourier,18,ml_cv,5.3920814116525335,0.8828464000566021,252.93181253464994,744.6754719586119,3,,43.0
